fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,linkedin.com,108.174.10.10,2620:109:c002::6cae:a0a,mail-a.linkedin.com,dns1.p09.nsone.net,United States,2002-11-02,2017-02-02,
Addition,linkedina.com,104.149.19.15,,,juming.dnsdun.com,United States,,,
Addition,linkedinb.com,192.64.147.174,,,ns1.voodoo.com,United States,2010-03-15,2020-02-22,
Addition,linkedinc.com,,,,ns2.markmonitor.com,,2006-08-22,2018-07-21,
Addition,linkedind.com,46.166.182.56,,,ns1.commonmx.com,Netherlands,2006-11-26,2020-03-05,
Addition,linkedine.com,103.224.212.224,,park-mx.above.com,ns3.above.com,Australia,,,
Addition,linkedinf.com,,,,,,,,
Addition,linkeding.com,91.195.240.126,,mail.pickelhost.com,ns1.sedoparking.com,Germany,2006-10-23,2019-09-24,
Addition,linkedinh.com,199.59.242.153,,mx76.m2bp.com,ns1.bodis.com,United States,2015-03-06,2020-03-02,
Addition,linkedini.com,91.106.195.166,,,ns31.domaincontrol.com,Sweden,2017-09-01,2019-09-05,
Addition,linkedinj.com,103.224.182.245,,,ns1.above.com,Australia,2014-09-30,2020-05-07,
Addition,linkedink.com,184.168.131.241,,,ns39.domaincontrol.com,United States,2011-01-17,2020-01-27,
Addition,linkedinl.com,170.178.168.203,,park-mx.above.com,ns1.above.com,United States,2018-09-01,2019-09-03,
Addition,linkedinm.com,103.224.182.241,,park-mx.above.com,ns1.above.com,Australia,2015-01-09,2020-01-11,
Addition,linkedinn.com,,,,,,,,
Addition,linkedino.com,184.168.221.40,,,ns51.domaincontrol.com,United States,2018-12-17,2019-12-17,
Addition,linkedinp.com,,,,,,,,
Addition,linkedinq.com,,,,,,,,
Addition,linkedinr.com,,,,,,,,
Addition,linkedins.com,184.168.221.45,,mailstore1.secureserver.net,ns11.domaincontrol.com,United States,2015-10-14,2019-10-10,
Addition,linkedint.com,181.214.86.147,,mail.h-email.net,ns1.panamans.com,United States,2020-04-14,2020-04-14,
Addition,linkedinu.com,184.168.131.241,,mailstore1.secureserver.net,ns65.domaincontrol.com,United States,2011-12-21,2019-12-22,
Addition,linkedinv.com,,,,,,,,
Addition,linkedinw.com,,,,,,,,
Addition,linkedinx.com,120.89.69.62,,,jm1.dns.com,United States,2019-09-15,2020-03-21,
Addition,linkediny.com,204.11.56.48,,,ns1626.ztomy.com,Virgin Islands,2020-02-27,2020-02-27,
Addition,linkedinz.com,,,,,,,,
Bitsquatting,minkedin.com,50.63.202.60,,mailstore1.secureserver.net,ns09.domaincontrol.com,United States,2013-12-26,2019-12-27,
Bitsquatting,ninkedin.com,,,,,,,,
Bitsquatting,hinkedin.com,91.195.240.94,,,ns1djs.name.com,Germany,2018-07-24,2019-07-25,
Bitsquatting,dinkedin.com,50.63.202.49,,mailstore1.secureserver.net,ns19.domaincontrol.com,United States,2010-02-25,2019-12-02,
Bitsquatting,lhnkedin.com,,,,,,,,
Bitsquatting,lknkedin.com,199.59.242.153,,mx76.m2bp.com,ns1.bodis.com,United States,2013-11-25,2019-11-26,
Bitsquatting,lmnkedin.com,,,,,,,,
Bitsquatting,lankedin.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,United States,,,
Bitsquatting,lynkedin.com,,,,ns2.markmonitor.com,,2006-04-05,2019-03-04,
Bitsquatting,liokedin.com,,,,,,,,
Bitsquatting,lilkedin.com,91.195.240.94,,,ns1djs.name.com,Germany,2018-07-24,2019-07-25,
Bitsquatting,lijkedin.com,104.28.18.83,2606:4700:3031::ac43:8534,,dan.ns.cloudflare.com,United States,,,
Bitsquatting,lifkedin.com,91.195.240.94,,,ns1djs.name.com,Germany,2018-07-24,2019-07-25,
Bitsquatting,linjedin.com,103.224.182.227,,park-mx.above.com,ns1.above.com,Australia,2011-12-22,2020-01-06,
Bitsquatting,liniedin.com,46.166.182.63,,,ns1.rentondc.com,Netherlands,2018-12-26,2019-12-04,
Bitsquatting,linoedin.com,159.8.210.35,,mail.efty.com,ns1.eftydns.com,Netherlands,,,
Bitsquatting,lincedin.com,199.191.50.73,,,ns111373.ztomy.com,Virgin Islands,2009-02-05,2020-02-06,
Bitsquatting,linkddin.com,3.234.181.234,,mail1.namebrightmail.com,ns1.namebrightdns.com,United States,,,
Bitsquatting,linkgdin.com,,,,,,,,
Bitsquatting,linkadin.com,,,,ns2.markmonitor.com,,2006-10-01,2019-08-30,
Bitsquatting,linkmdin.com,,,smtp1.phocine.net,ns1djs.name.com,,2017-11-07,2019-10-16,
Bitsquatting,linkudin.com,199.59.242.153,,mx76.m2bp.com,ns1.bodis.com,United States,2019-09-05,2019-10-08,
Bitsquatting,linkeein.com,104.28.4.37,2606:4700:3031::681c:425,mx.yandex.ru,sue.ns.cloudflare.com,United States,2016-12-30,2019-09-02,
Bitsquatting,linkefin.com,108.61.19.14,,,ns1.rentondc.com,United States,,,
Bitsquatting,linkelin.com,209.126.123.11,,,ns1.torresdns.com,United States,2007-07-31,2019-06-18,
Bitsquatting,linketin.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,Virgin Islands,2007-08-11,2019-09-05,
Bitsquatting,linkedhn.com,,,,,,,,
Bitsquatting,linkedkn.com,69.162.80.56,,,ns1.hastydns.com,United States,2011-01-04,2019-12-31,
Bitsquatting,linkedmn.com,50.63.202.34,,mailstore1.secureserver.net,ns47.domaincontrol.com,United States,2014-06-17,2019-06-18,
Bitsquatting,linkedan.com,184.168.221.40,,mailstore1.secureserver.net,ns09.domaincontrol.com,United States,2013-12-20,2019-12-21,
Bitsquatting,linkedyn.com,199.59.242.153,,mx76.m2bp.com,ns1.bodis.com,United States,,,
Bitsquatting,linkedio.com,,,,,,,,
Bitsquatting,linkedil.com,3.13.78.141,2600:1f16:389:3100:4796:a0a9:8096:f44e,,,United States,,,
Bitsquatting,linkedij.com,104.27.182.122,2606:4700:3033::681b:b77a,mx.yandex.ru,sue.ns.cloudflare.com,United States,2015-03-28,2020-03-19,
Bitsquatting,linkedif.com,91.195.240.126,,mail.pickelhost.com,ns1.sedoparking.com,Germany,2017-09-27,2019-07-29,
Homoglyph,xn--likedn-t9a01n.com,,,,,,,,
Homoglyph,xn--linkdn-s3a7q.com,,,,,,,,
Homoglyph,lirkcdir.com,,,,,,,,
Homoglyph,xn--nkedn-l3ae2p.com,,,,,,,,
Homoglyph,xn--l1ked1-xebe.com,,,,,,,,
Homoglyph,xn--linedln-6w3c.com,,,,,,,,
